Code,Food Name,Edible factor,Energy (kJ),Energy (kcal),Water (g),Protein (g),Fat (g),Carbohydrate (g),Fibre (g),Ash (g),Ca (mg),Fe (mg),Mg (mg),P (mg),K (mg),Na (mg),Zn (mg),Se (mcg),Vit A RAE (mcg),Vit A RE (mcg),b-carotene (mcg),Retinol (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Folate Eq (mcg),Food folate (mcg),Vit B12 (mcg),Vit C (mg)
2001,"Arrowroot, flour",1,1410,331,16.5,0.2,0.2,81.8,0.9,0.5,33,1,4,7,11,2,0.57,0,0,0,0,0,0.1,0.02,0.48,0,0,0,0
2002,"Arrowroot, peeled, raw",0.76,461,109,70.9,3.2,0.3,22.3,1.3,1,6,1.1,25,43,685,36,1,1,1,3,0,17,0.22,0.09,2.56,tr,tr,0,2
2020,"Arrowroot, peeled, boiled, drained (without salt)",1,461,109,70.9,3.2,0.3,22.3,2,1.3,6,1,23,40,548,28,0.86,1,1,3,0,16,0.17,0.08,1.9,tr,tr,0,1
2003,"Banana, BITA 3, dried, flour",1,1550,366,2.3,3.9,1.8,78.5,9.9,3.6,30,1.2,60,100,1030,4,0.62,4,13,25,0,151,0.18,0.24,2.8,14,14,0,7.1
2004,"Banana, plantain, green, raw",0.5,410,97,73.6,1.4,[0.4],20.1,3.6,0.9,7,0.8,23,29,322,10,0.23,1,0,1,0,3,0.06,0.04,0.33,19,19,0,23.3
2005,"Beet root, peeled, raw",0.85,184,44,86.1,2.17,0.1,6.9,3.31,1.4,13,0.8,11,36,298,60,0.55,0,1,2,0,10,0.01,0.02,0.3,110,110,0,5.3
2021,"Beet root, peeled, boiled, drained (without salt)",1,186,44,86,2.2,0.1,7,3.3,1.4,12,62.9,7,32,135,33,0.42,0,1,1,0,7,0.01,0.01,0.2,56,56,0,2
2022,"Beet root, peeled, stewed (without salt)",1,174,41,86.9,2,0.1,6.5,3.1,1.3,12,0.8,11,34,281,56,0.52,0,1,1,0,6,0.01,0.01,0.3,73,73,0,4
2007,"Cassava, root, white, peeled, raw",0.93,733,173,53.8,1.3,0.3,39.1,4.6,1,33,0.9,13,21,250,2,0.34,1,1,1,0,8,0.23,0.01,0.4,27,27,0,38
2023,"Cassava, root, white, peeled, boiled, drained (without salt)",1,627,148,60.5,1.1,0.2,33.4,3.9,0.8,27,0.7,10,17,171,1,0.26,1,1,1,0,6,0.15,0.01,0.3,15,15,0,23
2008,"Cassava, root, yellow, peeled, raw",0.95,531,126,65.7,1.6,0.2,27,4.7,0.8,18,0.6,9,27,290,2,0.34,1,61,122,0,[730],0.09,0.03,0.8,27,27,0,41
2024,"Cassava, root, yellow, peeled, boiled, drained (without salt)",1,454,107,70.7,1.4,0.2,23.1,4,0.7,15,0.5,7,21,198,1,0.26,1,49,99,0,593,0.06,0.02,0.5,15,15,0,25
2009,"Potato, Irish (English), white variety, peeled, raw",0.85,447,105,72.1,2.4,0.1,22.7,1.68,1,9,1.4,19,81,645,6.46,0.32,1,0,0,0,0,0.07,0.04,1.2,53,53,0,6.6
2025,"Potato, Irish (English), white variety, peeled, boiled, drained (without salt)",1,447,105,72.1,2.4,0.1,22.7,1.7,1,8,1.3,17,76,516,5,0.29,0,0,0,0,0,0.05,0.03,0.9,34,34,0,5
2026,"Potato, Irish (English), white variety, peeled, steamed (without salt)",1,456,107,71.5,2.5,0.2,23.2,1.7,1,8,1.3,18,79,559,6,0.31,0,0,0,0,0,0.06,0.04,1.1,33,33,0,5
2010,"Radish, round, red skin, raw",0.81,64,15,94.5,0.8,0.16,1.6,2.3,0.7,36,0.4,22,22,103,32.27,0.18,0,0,0,0,1,0.02,0.03,0.3,25,25,0,21
2011,"Radish, long, red skin, raw",0.98,57,14,94.7,0.6,[0.1],1.3,2.5,0.8,28,0.37,13,27,193,25,0.16,0,0,0,0,2,0.06,0.02,0.3,26,26,0,17
2012,"Radish, white skin, raw",0.99,93,22,93,1.1,0.3,2.7,2.1,0.7,40,0.4,14,20,249,26,0.34,0,1.25,3,0,15,0.03,0.02,0.5,28,28,0,15
2013,"Sweet potato, brown skin, peeled, raw",0.84,428,101,72,1.7,[0.4],20.8,4,1.2,22,0.4,12,25,389,20,0.28,0,8,17,0,100,0.07,0.03,0.8,16,16,0,18
