Code,Food Name,Edible factor,Energy (kJ),Energy (kcal),Water (g),Protein (g),Fat (g),Carbohydrate (g),Fibre (g),Ash (g),Ca (mg),Fe (mg),Mg (mg),P (mg),K (mg),Na (mg),Zn (mg),Se (mcg),Vit A RAE (mcg),Vit A RE (mcg),b-carotene (mcg),Retinol (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Folate Eq (mcg),Food folate (mcg),Vit B12 (mcg),Vit C (mg)
3001,"Beans, broad, dry, raw",1,1280,305,10.9,25.7,1.53,35.6,22.9,3.29,96,5.19,135,431,1190,25,3.55,8,2,5,0,29,0.56,0.33,2.41,250,250,0,1.4
3023,"Beans, broad, dry, unsoaked, boiled, drained (without salt)",1,458,109,68.2,9.2,0.5,12.7,8.2,1.2,31,1.6,42,138,319,9,1.14,3,1,2,0,10,0.13,0.09,0.6,45,45,0,0
3024,"Beans, broad, dry, unsoaked, boiled (without salt, water not discarded)",1,279,66,80.6,5.6,0.3,7.7,5,0.8,23,1.1,30,94,259,8,0.77,2,1,1,0,6,0.1,0.07,0.4,33,33,0,0
3025,"Beans, broad, dry, water-soaked, boiled in different water, drained (without salt)",1,458,109,68.2,9.2,0.5,12.7,8.2,1.2,31,1.6,42,138,319,9,1.14,3,1,2,0,10,0.13,0.09,0.6,45,45,0,0
3026,"Beans, broad, dry, water-soaked, boiled in different water (without salt, water not discarded)",1,279,66,80.6,5.6,0.3,7.7,5,0.8,23,1.1,30,94,259,8,0.77,2,1,1,0,6,0.1,0.07,0.4,33,33,0,0
3002,"Beans, broad, fresh, raw",1,345,82,75,7.2,0.5,8.7,7.1,1.3,26,1.6,29,427,275,2,1.1,8,16,32,0,195,0.12,0.14,2,284,284,0,41
3027,"Beans, broad, fresh, boiled, drained (without salt)",1,363,87,73.9,7.5,0.5,9.2,7.5,1.3,26,1.3,18,405,145,2,0.83,8,15,31,0,184,0.08,0.09,1.4,149,149,0,28
3003,"Beans, cluster, fresh, raw",0.86,232,55,82.9,6.19,0.4,4.4,4.8,1.4,121,5.6,73,50,301,4,0.61,2,20,40,0,241,0.09,0.03,0.7,[41],[41],0,49
3028,"Beans, cluster, fresh, boiled, drained (without salt)",1,244,58,82,6.5,0.4,4.6,5.1,1.4,121,4.4,46,47,158,3,0.48,2,19,38,0,228,0.06,0.02,0.5,22,22,0,34
3004,"Beans, kidney, dry, raw",1,1280,305,12.1,20.5,2,40.6,21.2,3.6,106,6.4,103,600,872,22,2.78,4,1,1,0,6,0.35,0.18,2.4,272,272,0,0.3
3029,"Beans, kidney, dry, unsoaked, boiled, drained (without salt)",1,491,117,66.3,7.9,0.8,15.5,8.1,1.4,36,2.1,34,207,251,8,0.96,2,0,0,0,2,0.09,0.05,0.6,52,52,0,0
3030,"Beans, kidney, dry, unsoaked, boiled (without salt, water not discarded)",1,296,70,79.7,4.7,0.5,9.4,4.9,0.9,27,1.5,25,139,202,7,0.64,1,0,0,0,1,0.06,0.04,0.4,38,38,0,0
3031,"Beans, kidney, dry, water-soaked, boiled in different water, drained (without salt)",1,491,117,66.3,7.9,0.8,15.5,8.1,1.4,36,2.1,34,207,251,8,0.96,2,0,0,0,2,0.09,0.05,0.6,52,52,0,0
3032,"Beans, kidney, dry, water-soaked, boiled in different water (without salt, water not discarded)",1,296,70,79.7,4.7,0.5,9.4,4.9,0.9,27,1.5,25,139,202,7,0.64,1,0,0,0,1,0.06,0.04,0.4,38,38,0,0
3005,"Beans, lima, dry, raw",1,1260,299,13.6,22.4,1.63,39.7,18.2,4.5,64,9.9,158,387,1447,7,2.6,6,0,0,0,0,0.53,0.16,1.5,381,381,0,1
3033,"Beans, lima, dry, unsoaked, boiled, drained (without salt)",1,504,120,65.4,8.9,0.7,15.9,7.3,1.8,23,3.4,54,139,434,4,0.95,2,0,0,0,0,0.14,0.05,0.4,76,76,0,0
3034,"Beans, lima, dry, unsoaked, boiled (without salt, water not discarded)",1,291,69,80,5.2,0.4,9.2,4.2,1.1,17,2.3,37,89,334,4,0.61,1,0,0,0,0,0.1,0.04,0.3,53,53,0,0
3035,"Beans, lima, dry, water-soaked, boiled in different water, drained (without salt)",1,504,120,65.4,8.9,0.7,15.9,7.3,1.8,23,3.4,54,139,434,4,0.95,2,0,0,0,0,0.14,0.05,0.4,76,76,0,0
3036,"Beans, lima, dry, water-soaked, boiled in different water (without salt, water not discarded)",1,291,69,80,5.2,0.4,9.2,4.2,1.1,17,2.3,37,89,334,4,0.61,1,0,0,0,0,0.1,0.04,0.3,53,53,0,0
3006,"Bean, red, fresh, raw",0.38,553,131,61.6,12.8,0.4,14.6,9.1,1.5,12,2.4,18,100,490,3,1,2,2,3,0,20,0.18,0.11,2,130,130,0,27
3007,"Beans, shellie, canned, solid & liquids",1,112,27,90.7,1.8,0.2,2.8,3.4,1.2,29,1,15,30,109,334,0.27,2,11,23,0,137,0.03,0.05,0.21,18,18,0,3.1
3008,"Bonavist, dry, raw",1,1350,319,10.3,23.1,[1.4],45.3,16.4,3.4,59,7.13,145,334,1000,18,2.49,8,0,1,0,5,0.59,0.17,2.86,23,23,0,0
3037,"Bonavist, dry, unsoaked, boiled, drained (without salt)",1,516,122,65.6,8.9,0.5,17.4,6.3,1.3,21,2.3,48,115,289,7,0.86,3,0,0,0,2,0.15,0.05,0.7,4,4,0,0
3038,"Bonavist, dry, unsoaked, boiled (without salt, water not discarded)",1,430,102,71.3,7.4,0.4,14.5,5.2,1.1,21,2.3,47,107,321,9,0.8,3,0,0,0,2,0.15,0.05,0.7,4,4,0,0
3039,"Bonavist, dry, water-soaked, boiled in different water, drained (without salt)",1,516,122,65.6,8.9,0.5,17.4,6.3,1.3,21,2.3,48,115,289,7,0.86,3,0,0,0,2,0.15,0.05,0.7,4,4,0,0
3040,"Bonavist, dry, water-soaked, boiled in different water (without salt, water not discarded)",1,326,77,78.3,5.6,0.3,11,4,0.9,16,1.7,36,81,244,7,0.6,2,0,0,0,1,0.11,0.04,0.6,3,3,0,0
3009,"Bonavist, fresh, raw",1,521,124,63.3,5.8,0.6,18.8,10,1.5,31,2.5,380,118,762,6,1.12,5,43,86,0,519,0.54,0.14,0.52,188,188,0,0
3010,"Chick peas, whole, dry, raw",1,1350,323,9.9,22.3,5.1,34.3,25.2,3.1,235,6.8,160,284,1030,25,3.37,41,15,29,0,175,0.48,0.16,2.1,400,400,0,8
3041,"Chick peas, whole, dry, unsoaked, boiled, drained (without salt)",1,601,143,59.9,9.9,2.3,15.3,11.2,1.4,90,2.6,61,114,342,10,1.35,18,6,13,0,78,0.14,0.05,0.6,89,89,0,2
3042,"Chick peas, whole, unsoaked, boiled (without salt, water not discarded)",1,430,102,71.4,7.1,1.6,10.9,8,1,76,2.2,51,90,326,10,1.07,13,5,9,0,55,0.12,0.05,0.5,76,76,0,2
3043,"Chick peas, whole, dry, water-soaked, boiled in different water, drained (without salt)",1,601,143,59.9,9.9,2.3,15.3,11.2,1.4,90,2.6,61,114,342,10,1.35,18,6,13,0,78,0.14,0.05,0.6,89,89,0,2
3044,"Chick peas, whole, dry, water-soaked, boiled in different water (without salt, water not discarded)",1,430,102,71.4,7.1,1.6,10.9,8,1,76,2.2,51,90,326,10,1.07,13,5,9,0,55,0.12,0.05,0.5,76,76,0,2
3011,"Cowpeas, dry, raw",1,1320,313,12.4,25.3,1.1,43.3,14.3,3.6,112,5.97,322,276,1380,22,3.37,-,2,3,0,19,0.9,0.15,2.4,439,439,0,1.5
