code,food_name,edible_conversion_factor,energy_kj,energy_kcal
01001,"Amaranth, whole grain, dry, raw",1,1520,360
01002,"Amaranth, whole grain, flour",1,1540,365
01003,"Biscuit, Savoury",1,2060,492
01004,"Biscuit, Sweet",1,1930,460
01005,"Bread, Brown",1,1040,245
01006,"Bread, Sweet",1,1540,368
01007,"Bread, White",1,1050,249
01008,"Breakfast cereal, flakes of corn, fortified",1,1580,372
01009,"Breakfast cereal, flakes of corn",1,1580,373
01010,"Breakfast cereal, wheat biscuits, Weetabix type",1,1550,366
01011,"Buns, Currant",1,1290,306
01012,"Cake or cupcake, plain butter cake, commercial",1,1530,363
01018,"Maize, grain, white variety, whole, dry, raw",1,1450,345
01046,"Amaranth, whole grain, dry, stewed (without salt)",1,510,121
01047,"Maize, grain, white variety, whole, dry, boiled, drained (without salt)",1,469,111
02001,"Arrowroot, flour",1,1410,331
02002,"Arrowroot, peeled, raw",0.76,461,109
02003,"Banana, BITA 3, dried, flour",1,1550,366
02004,"Banana, plantain, green, raw",0.5,410,97
02005,"Beet root, peeled, raw",0.85,184,44
02007,"Cassava, root, white, peeled, raw",0.93,733,173
02008,"Cassava, root, yellow, peeled, raw",0.95,531,126
02009,"Potato, Irish (English), white variety, peeled, raw",0.85,447,105
02013,"Sweet potato, brown skin, peeled, raw",0.84,428,101
02014,"Sweetpotato, orange, biofortified, raw",0.92,325,76.9
03001,"Beans, broad, dry, raw",1,1280,305
03002,"Beans, broad, fresh, raw",1,345,82
03004,"Beans, kidney, dry, raw",1,1280,305
03011,"Cowpeas, dry, raw",1,1320,313
03013,"Flour, soya, full fat",1,1830,437
04001,"Amaranth, leaves, picked, raw",0.59,150,36
04002,"Bitter gourd, whole, different varieties, raw",0.97,135,32
04003,"Black (African) nightshade, indigenous, leaves, picked, raw",0.52,127,31
04004,"Broccoli, tops and stems, raw",0.6,143,34
04005,"Cabbage, leaf head, Chinese, raw",0.92,40,10
04006,"Cabbage, leaf head, red raw",0.84,110,26
04007,"Cabbage, leaf head, white, raw",0.78,76,18
