code,food_name,ca_mg,fe_mg,mg_mg,p_mg,k_mg,na_mg,zn_mg,se_mcg
01001,"Amaranth, whole grain, dry, raw",162,9.5,270,397,413,3,2.5,21
01002,"Amaranth, whole grain, flour",161,8.9,259,405,461,3,2.7,20
01003,"Biscuit, Savoury",38,1.4,27,177,161,637,0.83,15
01004,"Biscuit, Sweet",45,1.4,19,98,158,298,0.6,10
01005,"Bread, Brown",56,2.6,58,134,191,446,1.3,13
01006,"Bread, Sweet",80,1.9,18,147,227,369,0.8,20
01007,"Bread, White",37,1.7,27,95,120,466,0.8,10
01008,"Breakfast cereal, flakes of corn, fortified",3.2,10.2,13,45,110,1090,0.2,5.5
01009,"Breakfast cereal, flakes of corn",3,0.4,13,45,110,1090,0.2,9
01010,"Breakfast cereal, wheat biscuits, Weetabix type",30,7.6,125,308,392,360,2,5.1
01011,"Buns, Currant",90,2.5,27,100,210,100,0.6,9
01012,"Cake or cupcake, plain butter cake, commercial",63,1,14,310,110,480,0.5,7
01018,"Maize, grain, white variety, whole, dry, raw",24,2.6,75,367,226,12,1.88,8
01046,"Amaranth, whole grain, dry, stewed (without salt)",56,3.2,91,133,139,3,0.85,7
01047,"Maize, grain, white variety, whole, dry, boiled, drained (without salt)",9,0.8,25,112,59,5,0.58,3
02001,"Arrowroot, flour",33,1,4,7,11,2,0.57,0
02002,"Arrowroot, peeled, raw",6,1.1,25,43,685,36,1,1
02003,"Banana, BITA 3, dried, flour",30,1.2,60,100,1030,4,0.62,4
02004,"Banana, plantain, green, raw",7,0.8,23,29,322,10,0.23,1
02005,"Beet root, peeled, raw",13,0.8,11,36,298,60,0.55,0
02007,"Cassava, root, white, peeled, raw",33,0.9,13,21,250,2,0.34,1
02008,"Cassava, root, yellow, peeled, raw",18,0.6,9,27,290,2,0.34,1
02009,"Potato, Irish (English), white variety, peeled, raw",9,1.4,19,81,645,6.46,0.32,1
02013,"Sweet potato, brown skin, peeled, raw",22,0.4,12,25,389,20,0.28,0
02014,"Sweetpotato, orange, biofortified, raw",27,0.5,14,33,250,10,0.5,1
03001,"Beans, broad, dry, raw",96,5.19,135,431,1190,25,3.55,8
03002,"Beans, broad, fresh, raw",26,1.6,29,427,275,2,1.1,8
03004,"Beans, kidney, dry, raw",106,6.4,103,600,872,22,2.78,4
03011,"Cowpeas, dry, raw",112,5.97,322,276,1380,22,3.37,0
03013,"Flour, soya, full fat",200,6.25,421,484,2470,12.7,3.84,7
04001,"Amaranth, leaves, picked, raw",280,6.8,122,89,597,18,0.92,22
04002,"Bitter gourd, whole, different varieties, raw",22,1.4,20,51,210,16,0.37,5
04003,"Black (African) nightshade, indigenous, leaves, picked, raw",100,8.6,41,68,421,10,0.65,1
04004,"Broccoli, tops and stems, raw",66,0.8,21,75,336,22,1,1
04005,"Cabbage, leaf head, Chinese, raw",36,1.4,10,40,250,16,0,1
04006,"Cabbage, leaf head, red raw",45,0.7,29,14,241,16,0.3,1
04007,"Cabbage, leaf head, white, raw",47,0.5,9,40,313,37,0.2,1
04008,"Capsicum (sweet peper), green, raw",8,0.5,10,17,151,2,0.18,0
04009,"Capsicum (sweet peper), red, raw",4,0.3,6,24,174,2,0.2,1
04010,"Capsicum (sweet peper), yellow, raw",19,1,17,43,242,2,0,0
04011,"Carrot, peeled, raw",33,0.6,17,25,251,35,0.14,0
04012,"Cauliflower, tops and stems, raw",17,0.8,11,49,292,30,0,1
04013,"Celery, stalk, raw",70,1,19,50,267,28,0.21,2
04014,"Courgette, green, unpeeled, raw",18,0.5,16,34,188,1,0.33,1
04015,"Cowpea, leaves, picked, raw",188,2.7,47,17,485,31,1,1
04016,"Cucumber, green, unpeeled, raw",20,0.7,14,20,136,22,0.18,1
04017,"Eggplant / Brinjal, different varieties, whole edible, raw",18,0.4,21,35,200,3,0.21,1
04018,"Jute mallow, picked leaves, raw",207,6.3,30,88,283,18,0.58,1
04019,"Kale, Ethiopian (kanzera), leaves, raw",117,5.7,54,51,639,7,0.7,0
04020,Kale (sukuma wiki) raw,402,2.8,41,67,238,71,0.5,0
04021,"Leeks, bulb and stem, raw",78,1.8,14,54,202,17,0.3,1
04022,"Lettuce, not further defined, raw",47,1.6,24,55,201,20,0.26,1
04023,"Mushroom, fresh, raw",16,0.3,15,105,318,8,0.17,16
04024,"Mushroom, dried, raw",24,5.5,136,702,326,5,8.7,0
04025,"Mushroom, raw, canned in brine (drained)",4,1,4,54,24,300,0,16
04026,"Okra, fresh, raw",81,0.8,57,63,303,8,0.6,1
04027,"Pumpkin, flesh, yellow w/o seeds, raw",17,0.2,12,31,178,14,0.21,1
04028,"Pumpkin, leaves, raw",383,5.6,142,119,423,12,0.9,1
04029,"Spider plant, leaves, raw",189,2.6,48,49,478,19,0.76,2
04030,"Spinach, leaves, raw",131,1.7,72,28,570,59,1,1
04031,"Spinach, Swiss chard, leaves, raw",117,4.4,78,50,348,892,0.73,1
04032,"Squash, butternut, peeled, flesh, raw",18,1,16,19,332,7.7,0.2,1
04033,"Stinging nettle, leaves, raw",668,7.2,133,122,524,36,1,2
04034,Sweet Potato (Leaves),118,1,61,30,620,6,0.29,1
04035,"Tomato, green, raw",8,0.4,14,23,225,13,0.2,8
04036,"Tomato, red, ripe, raw",8,0.9,9.5,25,126,21,0.37,0
04037,"Tomato, canned, whole contents",22,0.6,11,20,204,68,0.16,1
04038,"Vine (African) spinach, picked leaves, raw",267,10.9,40,56,446,8,0.5,0
04039,"Amaranth, leaves, picked, boiled, drained (without salt)",280,5.3,77,84,314,14,0.73,20
04040,"Amaranth, leaves, picked, stewed (without salt)",346,8.3,151,110,737,22,1.14,27
04041,"Bitter gourd, whole, different varieties, boiled, drained (without salt)",23,1.2,13,51,117,14,0.31,5
04042,"Black (African) nightshade, indigenous, leaves, picked, boiled, drained (without salt)",91,6.2,24,58,200,7,0.46,1
04044,"Broccoli, tops and stems, boiled, drained (without salt)",56,0.6,11,61,151,15,0.41,0
04045,"Broccoli, tops and stems, steamed (without salt)",60,0.6,18,69,275,18,0.52,0
04046,"Cabbage, leaf head, Chinese, boiled, drained (without salt)",35,1.1,6,37,128,12,0.15,0
04047,"Cabbage, leaf head, Chinese, steamed (without salt)",35,1.2,9,39,217,14,0.18,0
04048,"Cabbage, leaf head, red, boiled, drained (without salt)",44,0.5,18,13,123,12,0.23,1
04049,"Cabbage, leaf head, red, stewed (without salt)",42,0.7,27,13,223,15,0.28,1
04050,"Cabbage, leaf head, white, boiled, drained (without salt)",45,0.4,6,36,159,29,0.18,0
04051,"Cabbage, leaf head, white, stewed (without salt)",50,0.5,10,43,336,40,0.25,1
04052,"Capsicum (sweet peper), green, boiled, drained (without salt)",9,0.5,7,18,87,2,0.16,0
04053,"Capsicum (sweet peper), green, grilled (without salt and fat)",9,0.6,11,18,162,2,0.19,0
04054,"Capsicum (sweet peper), green, baked (without salt)",8,0.6,10,18,157,2,0.19,0
04055,"Capsicum (sweet peper), red, boiled, drained (without salt)",4,0.3,4,25,100,2,0.17,1
04056,"Capsicum (sweet peper), red, grilled (without salt and fat)",4,0.3,6,26,187,2,0.22,1
04057,"Capsicum (sweet peper), red, baked (without salt)",4,0.3,6,25,181,2,0.21,1
04058,"Capsicum (sweet peper), yellow, boiled, drained (without salt)",21,0.6,12,45,139,1,0.22,0
04059,"Capsicum (sweet peper), yellow, grilled (without salt and fat)",21,0.7,19,47,260,2,0.28,0
04060,"Capsicum (sweet peper), yellow, baked (without salt)",20,0.7,18,45,252,2,0.27,0
04061,"Carrot, peeled, boiled, drained (without salt)",34,0.5,11,24,120,21,0.11,0
04062,"Carrot, peeled, stewed (without salt)",35,0.6,17,26,261,37,0.14,0
04063,"Cauliflower, tops and stems, boiled, drained (without salt)",16,0.6,6,44,146,23,0.19,0
04064,"Celery, stalk, boiled, drained (without salt)",74,0.8,13,50,148,23,0.18,2
04065,"Courgette, green, unpeeled, boiled, drained (without salt)",19,0.4,11,34,104,1,0.28,1
04066,"Cowpea, leaves, picked, boiled, drained (without salt)",170,1.9,27,15,231,22,0.53,0
04067,"Cowpea, leaves, picked, steamed (without salt)",155,1.9,37,14,358,23,0.58,0
04068,"Eggplant / Brinjal, different varieties, whole edible, boiled, drained (without salt)",19,0.3,14,34,108,2,0.17,0
04069,"Eggplant / Brinjal, different varieties, whole edible, stewed (without salt)",23,0.5,26,44,250,4,0.26,1
04070,"Jute mallow, picked leaves, boiled, drained (without salt)",207,5,19,84,149,14,0.46,1
04071,"Jute mallow, picked leaves, stewed (without salt)",255,7.8,37,109,349,23,0.72,1
04072,"Kale, Ethiopian (kanzera), leaves, boiled, drained (without salt)",105,4,31,43,304,5,0.48,0
04073,"Kale, Ethiopian (kanzera), leaves, steamed (without salt)",96,3.9,42,42,472,5,0.52,0
04074,"Kale (sukuma wiki), boiled, drained (without salt)",364,2,23,57,113,51,0.34,0
04075,"Kale (sukuma wiki), steamed (without salt)",332,2,32,55,176,53,0.37,0
04076,"Leeks, bulb and stem, boiled, drained (without salt)",90,1.6,10,58,110,11,0.27,1
04077,"Mushroom, fresh, boiled, drained (without salt)",21,0.3,12,129,218,8,0.17,20
04078,"Mushroom, fresh, stewed (without salt)",20,0.4,19,130,393,10,0.21,20
04079,"Mushroom, dried, boiled, drained (without salt)",14,2.3,47,361,93,3,3.72,0
04080,"Okra, fresh, boiled, drained (without salt)",70,0.5,31,52,138,5,0.41,1
04081,"Okra, fresh, stewed (without salt)",84,0.7,56,65,280,7,0.59,1
04082,"Pumpkin, flesh, yellow w/o seeds, boiled, drained (without salt)",18,0.2,8,30,97,11,0.17,0
04083,"Pumpkin, flesh, yellow w/o seeds, boiled, drained (without salt)",15,0.2,11,27,157,12,0.19,0
04084,"Pumpkin, leaves, boiled, drained (without salt)",347,4,81,102,201,9,0.64,1
04085,"Pumpkin, leaves, steamed (without salt)",316,3.9,111,98,313,9,0.7,1
04086,"Spider plant, leaves, boiled, drained (without salt)",171,1.9,27,42,228,13,0.54,2
04087,"Spider plant, leaves, steamed (without salt)",156,1.8,37,40,353,14,0.59,1
04088,"Spinach, leaves, boiled, drained (without salt)",131,1.4,45,27,300,46,0.47,0
04089,"Spinach, leaves, stewed (without salt)",161,2.1,89,35,704,72,0.74,1
04090,"Spinach, Swiss chard, leaves, boiled, drained (without salt)",117,3.5,49,47,183,704,0.58,1
04091,"Spinach, Swiss chard, leaves, stewed (without salt)",144,5.4,96,62,430,1101,0.9,1
04092,"Squash, butternut, peeled, flesh, boiled, drained (without salt)",19,0.8,11,20,186,7,0.16,1
04093,"Squash, butternut, peeled, flesh, steamed (without salt)",19,0.9,16,21,317,7,0.2,1
04094,"Squash, butternut, peeled, flesh, baked (without salt)",21,1.2,19,23,390,9,0.23,1
04095,"Stinging nettle, leaves, boiled, drained (without salt)",604,5.2,76,105,250,26,0.49,2
04096,"Stinging nettle, leaves, steamed (without salt)",552,5,104,101,387,27,0.54,2
04097,"Tomato, green, boiled, drained (without salt)",10,0.4,10,26,144,13,0.15,10
04098,"Tomato, red, ripe, boiled, drained (without salt)",10,0.8,7,28,81,20,0.35,0
04099,"Vine (African) spinach, picked leaves, boiled, drained (without salt)",267,8.6,25,53,234,6,0.36,0
05001,"Apple, green skin, unpeeled, raw",6,0.4,4,10,99,2,0.07,1
05002,"Apple, red, unpeeled, raw",6,0.3,4,9,100,1,0.07,1
05003,"Avocado, ripe, raw",19,1,25,41,281,7,0.39,0
05004,"Banana, cavendish, raw",10,0.3,26,37,187,0,0.36,0
05005,"Baobab fruit, powderly part, dry, raw",283,5,108,56,1613,56,0.88,24
05006,"Custard apple, peeled, raw",28,0.4,38,22,278,3,0,0
05007,"Date, dried",82,2.6,50,72,730,14,0.6,3
05008,"Date, raw",34,0.3,24,28,410,7,0.2,1
05009,"Doumpalm fruit, raw",73,18,53,45,862,0.47,3.4,0
05010,"Grapes, green, raw",14,0.3,7.1,24,171,3,0.1,0
05011,"Guava, pink-fleshed, raw",20,0.4,18,31,334,1,0.26,0
05012,"Jackfruit, fruit, yellow-fleshed, peeled, raw",35,0,32,23,279,2,0.76,0
05013,"Lemon, juice, home squeezed",20,0.3,12,10,120,2,0,0
05014,"Lemon peel, raw",134,0.8,15,12,160,6,0.25,1
05015,"Lemon, pulp, raw",33,0.3,15,16,120,2,0.1,0
05016,"Lime, juice",26,0.3,11,20,150,3,0,0
05017,"Lime, pulp, raw",22,0,11,20,150,3,0.1,0
05018,"Loquat, peeled, raw",13,0.5,13,20,180,2,0.22,0
05019,"Mango, ripe, raw",14,0.2,9,17,186,1,0.14,1
05020,"Mango, unripe, raw",27,0.4,18,15,147,26,0.09,0
