code,food_name,water_g,protein_g,fat_g,carbohydrate_available_g,fibre_g,ash_g
01001,"Amaranth, whole grain, dry, raw",10,14.7,5.6,59.2,7.5,3.1
01002,"Amaranth, whole grain, flour",10.2,13.8,6.3,59.6,7.1,3
01003,"Biscuit, Savoury",4.5,6.6,24.9,58.9,3.3,1.9
01004,"Biscuit, Sweet",4.3,6.1,17.2,69.3,2.1,1.1
01005,"Bread, Brown",36,8,1.5,46.9,5.9,1.7
01006,"Bread, Sweet",23.5,8.3,14.4,50.6,1.5,1.8
01007,"Bread, White",36.9,7.7,1.9,48.8,3.1,1.7
01008,"Breakfast cereal, flakes of corn, fortified",3.5,7.5,0.7,82.6,2.95,2.8
01009,"Breakfast cereal, flakes of corn",3.5,7.5,0.7,83,2.6,2.8
01010,"Breakfast cereal, wheat biscuits, Weetabix type",3.8,11.5,1.9,70.7,9.9,2.1
01011,"Buns, Currant",29,7,6.8,52.8,2.9,1.5
01012,"Cake or cupcake, plain butter cake, commercial",25.9,7.1,15.3,48.8,1.1,1.9
01018,"Maize, grain, white variety, whole, dry, raw",13.6,7.94,4.5,63.4,9.4,1.2
01046,"Amaranth, whole grain, dry, stewed (without salt)",69.8,4.9,1.9,19.9,2.5,1.1
01047,"Maize, grain, white variety, whole, dry, boiled, drained (without salt)",72.1,2.6,1.5,20.5,3,0.4
02001,"Arrowroot, flour",16.5,0.2,0.2,81.8,0.9,0.5
02002,"Arrowroot, peeled, raw",70.9,3.2,0.3,22.3,1.3,0.5
02003,"Banana, BITA 3, dried, flour",2.3,3.9,1.8,78.5,9.9,3.6
02004,"Banana, plantain, green, raw",73.6,1.4,0.4,20.1,3.6,0.9
02005,"Beet root, peeled, raw",86.1,2.17,0.1,6.9,3.31,1.4
02007,"Cassava, root, white, peeled, raw",53.8,1.3,0.3,39.1,4.6,1
02008,"Cassava, root, yellow, peeled, raw",65.7,1.6,0.2,27,4.7,0.8
02009,"Potato, Irish (English), white variety, peeled, raw",72.1,2.4,0.1,22.7,1.68,1
02013,"Sweet potato, brown skin, peeled, raw",72,1.7,0.4,20.8,4,1.2
02014,"Sweetpotato, orange, biofortified, raw",78.7,1.9,0.1,15.6,3,0.7
03001,"Beans, broad, dry, raw",10.9,25.7,1.53,35.6,22.9,3.29
03002,"Beans, broad, fresh, raw",75,7.2,0.5,8.7,7.1,1.3
03004,"Beans, kidney, dry, raw",12.1,20.5,2,40.6,21.2,3.6
03011,"Cowpeas, dry, raw",12.4,25.3,1.1,43.3,14.3,3.6
03013,"Flour, soya, full fat",7,37,20.2,22,9.41,4.37
04001,"Amaranth, leaves, picked, raw",84.6,3.7,0.2,1.3,7.2,3.1
04002,"Bitter gourd, whole, different varieties, raw",89.6,1.5,0.2,4.2,3.7,0.8
04003,"Black (African) nightshade, indigenous, leaves, picked, raw",88.6,3.8,0.1,1.3,4.3,1.8
04004,"Broccoli, tops and stems, raw",89,3.3,0.3,2.7,3.7,1
04005,"Cabbage, leaf head, Chinese, raw",97,0.9,0.3,0.4,1.1,0.4
04006,"Cabbage, leaf head, red raw",91.1,1.3,0.2,3.1,3.4,0.9
04007,"Cabbage, leaf head, white, raw",93.8,1.1,0.1,2.2,2.2,0.7
04008,"Capsicum (sweet peper), green, raw",93.3,1.5,0.1,2.9,2,0.2
04009,"Capsicum (sweet peper), red, raw",92.4,1.7,0.2,3.5,1.8,0.4
04010,"Capsicum (sweet peper), yellow, raw",93.4,1.4,0.2,2.3,2.2,0.6
04011,"Carrot, peeled, raw",90.6,0.7,0.2,4.5,3.2,0.6
04012,"Cauliflower, tops and stems, raw",93.2,2,0.2,0.9,2.8,0.9
04013,"Celery, stalk, raw",90.9,0.6,0.1,5.3,1.4,1.8
04014,"Courgette, green, unpeeled, raw",94.8,0.9,0.3,2.5,1.1,0.4
04015,"Cowpea, leaves, picked, raw",88.7,3.4,0.4,0.7,4.9,1.9
