code,food_name,vit_a_rae_mcg,vit_a_re_mcg,retinol_mcg,b_carotene_equivalent_mcg,thiamin_mg,riboflavin_mg,niacin_mg,folate_eq_mcg,food_folate_mcg,vit_b12_mcg,vit_c_mg
01001,"Amaranth, whole grain, dry, raw",0,0,0,0,0.07,0.21,0.5,82,82,0,1
01002,"Amaranth, whole grain, flour",0,0,0,1,0.08,0.15,0.7,0,1,0,0
01003,"Biscuit, Savoury",8,10,7,15,0.16,0.06,1.3,21,21,0,3
01004,"Biscuit, Sweet",40,42,38.5,20,0.09,0.03,0.7,23,23,0.1,7
01005,"Bread, Brown",0,0,0,0,0.22,0.01,3.4,37,37,0.05,0
01006,"Bread, Sweet",74,77,70,43,0.2,0.16,2.3,33,33,0.23,0.6
01007,"Bread, White",0,0,0,0,0.16,0.06,3.8,28,28,0.07,0
01008,"Breakfast cereal, flakes of corn, fortified",11,21,0,128,1,1.5,17.7,422,4,0,0
01009,"Breakfast cereal, flakes of corn",10,21,0,125,0,0.08,0.8,4,4,0,0
01010,"Breakfast cereal, wheat biscuits, Weetabix type",0,0,0,0,1,1.24,11,53,53,0,0
01011,"Buns, Currant",0,0,0,1,0.2,0.03,2.1,12,12,0,0
01012,"Cake or cupcake, plain butter cake, commercial",50,53,46,42.5,0.06,0.14,0.7,9,8.5,0.15,0
01018,"Maize, grain, white variety, whole, dry, raw",0,0,0,0,0.25,0.1,2,71,71,0,0
01046,"Amaranth, whole grain, dry, stewed (without salt)",0,0,0,0,0.02,0.07,0.2,22,22,0,0
01047,"Maize, grain, white variety, whole, dry, boiled, drained (without salt)",0,0,0,0,0.04,0.02,0.5,16,16,0,0
02001,"Arrowroot, flour",0,0,0,0,0.1,0.02,0.48,0,0,0,0
02002,"Arrowroot, peeled, raw",1,3,0,17,0.22,0.09,2.56,0,0,0,2
02003,"Banana, BITA 3, dried, flour",13,25,0,151,0.18,0.24,2.8,14,14,0,7.1
02004,"Banana, plantain, green, raw",0,1,0,3,0.06,0.04,0.33,19,19,0,23.3
02005,"Beet root, peeled, raw",1,2,0,10,0.01,0.02,0.3,110,110,0,5.3
02007,"Cassava, root, white, peeled, raw",1,1,0,8,0.23,0.01,0.4,27,27,0,38
02008,"Cassava, root, yellow, peeled, raw",61,122,0,730,0.09,0.03,0.8,27,27,0,41
02009,"Potato, Irish (English), white variety, peeled, raw",0,0,0,0,0.07,0.04,1.2,53,53,0,6.6
02013,"Sweet potato, brown skin, peeled, raw",8,17,0,100,0.07,0.03,0.8,16,16,0,18
02014,"Sweetpotato, orange, biofortified, raw",517,1030,0,6200,0.03,0.05,1,11,11,0,31
03001,"Beans, broad, dry, raw",2,5,0,29,0.56,0.33,2.41,250,250,0,1.4
03002,"Beans, broad, fresh, raw",16,32,0,195,0.12,0.14,2,284,284,0,41
03004,"Beans, kidney, dry, raw",1,1,0,6,0.35,0.18,2.4,272,272,0,0.3
03011,"Cowpeas, dry, raw",2,3,0,19,0.9,0.15,2.4,439,439,0,1.5
03013,"Flour, soya, full fat",6,12,0,71,0.8,0.3,4.2,338,338,0,0
04001,"Amaranth, leaves, picked, raw",326,652,0,3913,0.03,0.22,0.69,64,64,0,77
04002,"Bitter gourd, whole, different varieties, raw",11,21,0,126,0.07,0.04,0.3,45,45,0,60
04003,"Black (African) nightshade, indigenous, leaves, picked, raw",2,4,0,24,0.06,0.32,1.1,404,404,0,36
04004,"Broccoli, tops and stems, raw",25,51,0,303,0.1,0.22,0.5,48,48,0,103
04005,"Cabbage, leaf head, Chinese, raw",16,32,0,190,0.03,0.04,0.4,170,170,0,20
04006,"Cabbage, leaf head, red raw",1,2,0,10,0.09,0.13,0.5,57,57,0,69
04007,"Cabbage, leaf head, white, raw",0,0,0,0,0.04,0.04,0.4,15,15,0,50
04008,"Capsicum (sweet peper), green, raw",27,55,0,328,0.03,0.03,0.5,8,8,0,115
04009,"Capsicum (sweet peper), red, raw",21,41,0,246,0.04,0.05,1,52,52,0,156
04010,"Capsicum (sweet peper), yellow, raw",14,28,0,166,0.14,0.02,0.59,30,30,0,127
04011,"Carrot, peeled, raw",589,1180,0,7070,0.04,0.03,0.22,18,18,0,5.5
04012,"Cauliflower, tops and stems, raw",0,0,0,2,0.06,0.09,0.5,44,44,0,70
04013,"Celery, stalk, raw",39,78,0,465,0.03,0.03,0.4,13,13,0,12
04014,"Courgette, green, unpeeled, raw",23,46,0,278,0.03,0.06,0.6,17,17,0,24
04015,"Cowpea, leaves, picked, raw",36,72,0,0,0.49,0.37,1.6,95,95,0,50
04016,"Cucumber, green, unpeeled, raw",0,1,0,5,0.03,0.02,0.2,7,7,0,7
04017,"Eggplant / Brinjal, different varieties, whole edible, raw",12,24,0,146,0.05,0.05,1,29,29,0,2
04018,"Jute mallow, picked leaves, raw",217,434,0,2603,0.09,0.34,0.53,117,117,0,44.5
04019,"Kale, Ethiopian (kanzera), leaves, raw",118,236,0,1418,0.06,0.23,0.9,73,73,0,134
04020,Kale (sukuma wiki) raw,177,355,0,2127,0.11,0.13,1,62,62,0,134
04021,"Leeks, bulb and stem, raw",20,40,0,242,0.14,0,0,64,64,0,21
04022,"Lettuce, not further defined, raw",107,214,0,1285,0.08,0.05,0.26,66,66,0,10
04023,"Mushroom, fresh, raw",0,0,0,0,0.1,0.4,0.7,23,23,0,0
04024,"Mushroom, dried, raw",0,0,0,0,0.24,0.17,3.77,163,163,0,0
04025,"Mushroom, raw, canned in brine (drained)",4,7,0,42,0.23,0.05,1.3,22,22,0,3
04026,"Okra, fresh, raw",9,19,0,112,0.1,0.06,1,88,88,0,21
04027,"Pumpkin, flesh, yellow w/o seeds, raw",126,252,0,1512,0.07,0.06,0.78,50,50,0,8
04028,"Pumpkin, leaves, raw",141,283,0,1695,0.07,0.12,1.49,36,36,0,12.3
04029,"Spider plant, leaves, raw",217,434,0,2603,0.1,0.12,1.3,346,346,0,64
04030,"Spinach, leaves, raw",189,377,0,2260,0.03,0.18,0.4,110,110,0,37
04031,"Spinach, Swiss chard, leaves, raw",190,380,0,2280,0.03,0.1,0.6,121,121,0,24
04032,"Squash, butternut, peeled, flesh, raw",160,320,0,1920,0.07,0.06,1.02,31,31,0,8
04033,"Stinging nettle, leaves, raw",2,3,0,0,0.04,0,1,457,457,0,5
04034,Sweet Potato (Leaves),189,378,0,2270,0.1,0.35,1.1,1,1,0,11
04035,"Tomato, green, raw",3,5,0,32,0.08,0.1,0.5,9,9,0,16
04036,"Tomato, red, ripe, raw",26,53,0,316,0.04,0.04,0.5,25,25,0,25
04037,"Tomato, canned, whole contents",28,56,0,334,0,0,0.6,26,26,0,6
04038,"Vine (African) spinach, picked leaves, raw",184,369,0,2210,0.1,0.2,0.9,71,71.3,0,79.8
04039,"Amaranth, leaves, picked, boiled, drained (without salt)",309,618,0,3707,0.02,0.15,0.5,34,34,0,33
04040,"Amaranth, leaves, picked, stewed (without salt)",362,725,0,4347,0.03,0.26,0.8,55,55,0,57
04041,"Bitter gourd, whole, different varieties, boiled, drained (without salt)",11,21,0,126,0.05,0.03,0.2,25,25,0,43
04042,"Black (African) nightshade, indigenous, leaves, picked, boiled, drained (without salt)",2,3,0,20,0.04,0.2,0.7,192,192,0,14
04044,"Broccoli, tops and stems, boiled, drained (without salt)",20,41,0,246,0.06,0.13,0.3,22,22,0,60
04045,"Broccoli, tops and stems, steamed (without salt)",22,44,0,262,0.08,0.19,0.4,28,28,0,74
04046,"Cabbage, leaf head, Chinese, boiled, drained (without salt)",15,29,0,174,0.02,0.03,0.3,87,87,0,8
04047,"Cabbage, leaf head, Chinese, steamed (without salt)",15,29,0,174,0.02,0.04,0.3,104,104,0,11
04048,"Cabbage, leaf head, red, boiled, drained (without salt)",1,2,0,9,0.06,0.09,0.3,29,29,0,28
04049,"Cabbage, leaf head, red, stewed (without salt)",1,1,0,8,0.08,0.11,0.4,37,37,0,38
04050,"Cabbage, leaf head, white, boiled, drained (without salt)",0,0,0,0,0.03,0.03,0.3,8,8,0,20
04051,"Cabbage, leaf head, white, stewed (without salt)",0,0,0,0,0.04,0.04,0.4,11,11,0,32
04052,"Capsicum (sweet peper), green, boiled, drained (without salt)",28,57,0,339,0.02,0.02,0.4,5,5,0,86
04053,"Capsicum (sweet peper), green, grilled (without salt and fat)",26,53,0,317,0.03,0.03,0.5,6,6,0,99
04054,"Capsicum (sweet peper), green, baked (without salt)",26,51,0,308,0.03,0.03,0.5,6,6,0,96
04055,"Capsicum (sweet peper), red, boiled, drained (without salt)",21,42,0,254,0.03,0.04,0.7,30,30,0,117
04056,"Capsicum (sweet peper), red, grilled (without salt and fat)",20,40,0,238,0.04,0.05,1,39,39,0,134
04057,"Capsicum (sweet peper), red, baked (without salt)",19,38,0,231,0.04,0.05,1,38,38,0,130
04058,"Capsicum (sweet peper), yellow, boiled, drained (without salt)",14,29,0,172,0.1,0.01,0.4,17,17,0,95
04059,"Capsicum (sweet peper), yellow, grilled (without salt and fat)",13,27,0,161,0.14,0.02,0.6,23,23,0,109
04060,"Capsicum (sweet peper), yellow, baked (without salt)",13,26,0,156,0.13,0.02,0.6,22,22,0,106
04061,"Carrot, peeled, boiled, drained (without salt)",564,1130,0,6770,0.03,0.02,0.2,10,10,0,2
04062,"Carrot, peeled, stewed (without salt)",552,1110,0,6630,0.04,0.03,0.2,13,13,0,5
04063,"Cauliflower, tops and stems, boiled, drained (without salt)",0,0,0,1,0.04,0.06,0.3,22,22,0,46
04064,"Celery, stalk, boiled, drained (without salt)",39,78,0,465,0.02,0.02,0.3,7,7,0,9
04065,"Courgette, green, unpeeled, boiled, drained (without salt)",14,28,0,168,0.02,0.04,0.4,9,9,0,17
04066,"Cowpea, leaves, picked, boiled, drained (without salt)",0,0,0,0,0.3,0.23,1,45,45,0,19
04067,"Cowpea, leaves, picked, steamed (without salt)",0,0,0,0,0.34,0.29,1.1,49,49,0,24
04068,"Eggplant / Brinjal, different varieties, whole edible, boiled, drained (without salt)",12,24,0,141,0.03,0.03,0.4,16,16,0,1
04069,"Eggplant / Brinjal, different varieties, whole edible, stewed (without salt)",14,27,0,164,0.06,0.06,0.6,25,25,0,2
04070,"Jute mallow, picked leaves, boiled, drained (without salt)",205,411,0,2466,0.06,0.23,0.4,61,61,0,18.3
04071,"Jute mallow, picked leaves, stewed (without salt)",241,482,0,2892,0.1,0.4,0.6,101,101,0,32.2
04072,"Kale, Ethiopian (kanzera), leaves, boiled, drained (without salt)",101,203,0,1215,0.04,0.14,0.6,35,35,0,51
04073,"Kale, Ethiopian (kanzera), leaves, steamed (without salt)",92,185,0,1109,0.04,0.18,0.6,38,38,0,64
04074,"Kale (sukuma wiki), boiled, drained (without salt)",152,304,0,1823,0.07,0.08,0.6,30,30,0,51
04075,"Kale (sukuma wiki), steamed (without salt)",139,277,0,1665,0.08,0.1,0.7,33,33,0,64
