code,food_name,ile,leu,lys,met,cys,phe,tyr,thr,trp,val,arg,his,ala,asp,glu,gly,pro,ser
01017,"Maize, grain, white variety, whole, dry, raw",252,890,260,0,0,323,303,319,0,343,417,169,555,299,1320,256,701,425
01022,"Green Maize, white, whole, grain, fresh, raw",246,631,308,104,74,369,377,285,36,246,339,134,539,578,1250,281,562,379
01019,"Maize meal, sifted, fortified, packaged, raw",247,928,252,0,0,366,357,306,0,338,384,284,549,210,1350,178,764,284
01024,"Millet, bulrush, grain, dry, raw",262,601,286,143,60,357,208,220,83,363,202,125,476,506,1230,179,393,196
01035,"Sorghum, grain, white, dry, raw",321,880,217,100,90,332,180,260,46,387,286,191,694,341,1460,136,610,263
01031,"Rice, white, milled, polished grain, dry, raw",274,563,285,150,90,344,344,230,63,434,547,130,379,457,1180,285,356,442
01037,"Wheat Flour (refined/fortified/sifted packaged), raw",188,361,198,56,76,310,168,137,51,234,178,112,158,239,1860,153,621,178
01040,"Wheat, whole, grain, dry, raw",266,495,229,102,0,297,206,211,58,294,332,173,239,241,1960,251,706,271
02008,"Potato, Irish (English), white variety, peeled, raw",250,510,485,100,77,273,319,223,96,346,408,135,188,1500,1030,185,293,269
03004,"Beans, Kidney, dry, raw",383,614,436,83,30,372,195,290,58,454,384,160,293,895,1090,268,274,358
03014,"Garden peas, fresh, raw",300,517,489,39,40,284,229,178,53,339,332,170,391,493,1050,221,304,193
03016,"Gram, black, dry, raw",342,580,487,67,36,360,183,229,46,459,433,183,313,816,1170,271,300,329
04032,"Squash, butternut, peeled, flesh, raw",238,350,227,73,54,238,208,185,85,265,387,115,258,988,795,227,223,238
04020,Kale (sukuma wiki) raw,334,522,396,60,83,459,261,344,75,459,365,130,386,751,897,376,344,323
04019,"Kale, Ethiopian (kanzera), leaves, raw",297,479,393,60,83,451,230,316,75,470,220,163,431,642,834,326,268,278
04018,"Jute mallow, picked leaves, raw",271,454,311,88,0,406,210,230,95,345,332,129,339,637,603,325,284,210
04037,"Vine (African) spinach, picked leaves, raw",255,418,391,0,0,355,227,246,0,318,337,127,300,500,673,328,246,246
04015,"Cowpea, leaves, picked, raw",379,646,415,74,0,480,332,379,102,471,379,129,517,803,720,425,342,277
4003,"Black (African) nightshade, indigenous, leaves, picked, raw",335,572,351,115,76,474,270,253,106,417,343,147,392,752,711,376,294,245
5037,"Watermelon, fruit, green with white stripes, raw",200,186,643,64,21,157,121,279,71,164,614,64,179,407,625,107,250,164
5004,"Banana, cavendish, raw",200,494,290,67,100,320,143,205,71,436,281,486,233,756,669,224,238,281
5024,"Passion fruit, dark purple skin, raw",265,411,292,0,0,624,199,226,0,385,809,0,385,783,1410,398,464,385
5029,"Pineapple, raw",163,248,252,66,139,162,194,188,68,254,165,86,434,1690,933,333,235,332
5017,"Loquat, peeled, raw",250,433,383,67,100,233,217,250,83,350,233,117,400,605,605,333,450,333
5011,"Guava, pink-fleshed, raw",246,403,173,56,64,97,164,236,48,302,207,115,346,778,1350,576,354,346
5022,"Orange, pulp, raw",162,154,308,131,69,200,108,100,62,262,423,115,331,878,492,615,386,208
5003,"Avocado, ripe, raw",257,336,316,104,99,265,165,257,65,336,237,149,297,613,593,336,277,336
5012,"Jackfruit, fruit, yellow-fleshed, peeled, raw",218,423,208,34,31,281,376,272,39,324,201,102,385,1640,578,338,376,337
5036,"Tree tomato, dark red skin, peeled, raw",222,236,310,0,0,207,0,177,0,177,0,0,148,754,2670,236,192,310
6022,"Milk, cow, whole, fresh, raw",323,703,580,134,77,285,349,292,73,436,246,202,264,479,1330,155,616,385
6020,"Milk, cow, whole, fermented (Lala - Industrial)",295,652,493,116,93,237,283,311,76,392,478,220,243,592,1200,141,692,491
6021,"Milk, cow, whole, fermented (Lala - mursik)",302,681,576,159,80,326,374,332,93,329,478,172,214,449,1200,130,586,460
6026,"Yoghurt, cow milk, whole, plain",291,650,574,115,88,271,282,321,6,360,267,166,215,566,1240,139,646,496
6014,"Milk, camel, whole, fresh, raw",415,745,329,228,82,288,241,263,160,548,213,193,232,330,1120,120,765,253
7010,"Egg, chicken, whole, raw",370,606,330,225,140,297,233,244,97,458,400,124,473,498,478,223,236,368
7001,"Beef, high fat, w/o bones, raw",250,401,511,89,250,169,120,152,27,453,250,186,405,528,1000,369,331,169
7004,"Beef, medium fat, w/o bones, raw",312,488,540,120,17,211,163,182,40,564,410,245,513,644,1120,353,334,179
7002,"Beef, lean, raw",282,496,540,126,16,224,181,179,38,493,410,275,439,632,1170,335,286,166
7015,"Goat, medium fat, raw",237,441,473,136,25,221,169,248,75,428,458,191,446,535,769,542,384,145
7013,"Goat, lean, raw",281,537,613,157,28,244,195,297,43,492,458,188,508,436,533,332,251,137
7008,"Duck, meat and skin, fresh, raw",289,506,677,159,28,239,184,258,53,457,393,207,398,498,678,299,228,126
7021,"Rabbit meat, raw",235,437,469,116,65,234,197,246,58,295,415,177,437,535,1070,647,532,225
7003,"Beef, liver, raw",225,538,531,132,26,289,199,742,51,520,388,178,425,445,555,382,274,139
8009,"Nile tilapia, fillet, w/o skin and bones, raw",255,449,513,163,25,229,175,240,64,409,397,178,370,531,936,349,224,142
8005,"Lungfish, fillet, raw",320,515,743,149,36,244,177,273,41,534,375,188,512,500,753,422,267,121
8008,"Nile perch, fillet w/o bones, raw",286,496,536,184,28,256,198,282,65,464,375,162,399,645,955,307,242,144
8002,"Dagaa fish (omena), raw, dried",285,443,535,155,59,219,170,218,40,417,375,250,388,716,862,308,310,245
