code,food_name,fat_total_g,facid_g,fasat_g,fams_g,fapu_g,fatrn_g,faun_g,fapun3_g,fapun6_g
01018,"Maize, grain, white variety, whole, dry, raw",4.5,3.58,0.61,1.32,1.57,0,0.07,0.04,1.54
01020,"Maize meal, sifted, fortified, packaged, raw",3,2.39,0.44,0.95,0.99,0,0,0.03,0.96
01023,"Green Maize, white, whole, grain, fresh, raw",2.5,2.3,0.45,0.86,0.99,0,0,0.02,0.96
01025,"Millet, bulrush, grain, dry, raw",5.3,4.56,1.08,1.34,2.13,0.01,0,0.13,2
01039,"Sorghum, grain, white, dry, raw",3.5,3.01,0.59,1.2,1.29,0.01,0,0.03,1.26
01034,"Rice, white, milled, polished grain, dry, raw",1,0.85,0.29,0.31,0.24,0,0,0.01,0.23
01043,"Wheat Flour (refined/fortified/sifted packaged), raw",1.6,1.07,0.22,0.19,0.66,0,0,0.04,0.62
01045,"Wheat, whole, grain, dry, raw",2.5,1.8,0.36,0.37,1.07,0,0,0.08,0.99
03004,"Beans, kidney, dry, raw",2,1.6,0.26,0.18,1.16,0.01,0,0.78,0.37
03015,"Garden peas, fresh, raw",0.7,0.56,0.16,0.16,0.26,0,0,0.04,0.22
03017,"Gram, black, dry, raw",1.7,1.36,0.47,0.17,0.77,0,0,0.49,0.28
05003,"Avocado, ripe, raw",19.6,18.74,3.28,13.5,1.91,0.01,0,0.13,1.79
06022,"Milk, cow, whole, fresh, raw",3.54,3.45,2.32,0.89,0.09,0.15,0,0.03,0.09
06020,"Milk, cow, whole, fermented (Lala - Industrial)",4.09,2.73,1.79,0.71,0.08,0.14,0,0.04,0.07
06021,"Milk, cow, whole, fermented (Lala - mursik)",3.52,3.34,2.12,0.97,0.09,0.16,0,0.05,0.08
06026,"Yoghurt, cow milk, whole, plain",3.09,2.65,1.74,0.7,0.07,0.13,0,0.03,0.07
06014,"Milk, camel, whole, fresh, raw",2.83,2.69,1.57,0.89,0.1,0.12,0,0.05,0.09
07011,"Egg, chicken, whole, raw",8.14,7,2.3,2.92,1.78,0,0,0.11,1.67
07022,"Sausage, beef, raw",16.3,16.21,7.39,6.1,2.26,0.46,0,0.19,2.17
07001,"Beef, high fat, w/o bones, raw",24.1,22.94,12.4,8.71,0.8,1.03,0.03,0.39,0.62
07004,"Beef, medium fat, w/o bones, raw",7.21,6.82,3.55,2.75,0.22,0.29,0,0.1,0.18
07002,"Beef, lean, raw",2.27,2.09,1.13,0.74,0.15,0.07,0,0.04,0.13
07016,"Goat, medium fat, raw",8.62,8.17,4.39,2.96,0.42,0.38,0.01,0.15,0.37
07014,"Goat, lean, raw",4.28,4.06,2.07,1.54,0.24,0.19,0.01,0.06,0.23
07009,"Chicken, unespecified part, w/o bones, meat&skin, raw",13,12.33,3.71,5.71,2.85,0.05,0,0.14,2.73
07003,"Beef, liver, raw",4.2,3.11,1.44,0.53,1.07,0.08,0,0.42,0.67
08010,"Nile tilapia, fillet, w/o skin and bones, raw",1.49,1.25,0.43,0.42,0.4,0,0,0.1,0.3
08005,"Lungfish, fillet, raw",1.03,0.81,0.3,0.23,0.28,0,0,0.14,0.14
