code,food_name,4_0,6_0,7_0,8_0,9_0,10_0,11_0,12_0,13_0,14_0,15_0,16_0,17_0,18_0,19_0,20_0,21_0,22_0,23_0,24_0
1018,"Maize, grain, white variety, whole, dry, raw",0,0,0,0,0,0,0,0,0,0,0,0.46,0,0.1,0,0.02,0,0.01,0,0.01
1020,"Maize meal, sifted, fortified, packaged, raw",0,0,0,0,0,0,0,0,0,0.01,0,0.31,0,0.08,0,0.01,0,0,0,0.01
1023,"Green Maize, white, whole, grain, fresh, raw",0,0,0,0,0,0,0,0,0,0,0,0.34,0,0.07,0,0.01,0,0,0,0
1025,"Millet, bulrush, grain, dry, raw",0,0,0,0,0,0,0,0,0,0.01,0,0.8,0,0.2,0,0.04,0,0.01,0,0.01
1039,"Sorghum, grain, white, dry, raw",0,0,0,0.01,0,0,0,0,0,0,0,0.49,0,0.06,0,0.01,0,0,0,0.01
1034,"Rice, white, milled, polished grain, dry, raw",0,0,0,0,0,0,0,0.01,0,0.02,0,0.21,0,0.04,0,0.01,0,0,0,0
1043,"Wheat Flour (refined/fortified/sifted packaged), raw",0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.02,0,0,0,0,0,0
1045,"Wheat, whole, grain, dry, raw",0,0,0,0,0,0,0,0,0,0,0,0.32,0,0.03,0,0,0,0,0,0
3004,"Beans, kidney, dry, raw",0,0,0,0,0,0,0,0,0,0,0,0.18,0,0.04,0,0.01,0,0.01,0,0.01
3015,"Garden peas, fresh, raw",0,0,0,0,0,0,0,0,0,0.01,0,0.1,0,0.03,0,0,0,0,0,0
3017,"Gram, black, dry, raw",0,0,0,0,0,0,0,0.01,0,0.01,0,0.3,0,0.08,0,0.02,0,0.03,0,0.02
5003,"Avocado, ripe, raw",0,0,0,0,0,0,0,0,0,0.01,0,3.05,0,0.17,0,0.02,0,0.01,0,0.01
6022,"Milk, cow, whole, fresh, raw",0.16,0.08,0.04,0.07,0.08,0,0.34,0.05,1.02,0.04,0.43,0,0,0,0,0,0,0,0,0
6020,"Milk, cow, whole, fermented (Lala - Industrial)",0.13,0.06,0.03,0.06,0.07,0,0.26,0.04,0.75,0.03,0.37,0,0,0,0,0,0,0,0,0
6021,"Milk, cow, whole, fermented (Lala - mursik)",0.15,0.07,0.04,0.07,0.07,0,0.3,0.05,0.87,0.04,0.45,0,0,0,0,0,0,0,0,0
6026,"Yoghurt, cow milk, whole, plain",0.13,0.06,0.03,0.06,0.06,0,0.25,0.03,0.72,0.03,0.37,0,0,0,0,0,0,0,0,0
6014,"Milk, camel, whole, fresh, raw",0,0,0,0,0.02,0,0.25,0.04,0.83,0.03,0.39,0,0,0,0,0,0,0,0,0
7011,"Egg, chicken, whole, raw",0,0,0,0,0,0,0.02,0,1.7,0.03,0.54,0,0,0,0,0,0,0,0,0
7022,"Sausage, beef, raw",0,0,0,0.01,0.02,0,0.35,0.05,4.27,0.17,2.48,0.04,0,0,0,0,0,0,0,0
7001,"Beef, high fat, w/o bones, raw",0,0,0,0.02,0.03,0,0.9,0.14,6,0.38,4.81,0.08,0,0,0,0,0,0,0,0
7004,"Beef, medium fat, w/o bones, raw",0,0,0,0,0,0,0.23,0.04,1.73,0.12,1.42,0.02,0,0,0,0,0,0,0,0
7002,"Beef, lean, raw",0,0,0,0,0,0,0.07,0.01,0.52,0.04,0.48,0,0,0,0,0,0,0,0,0
7016,"Goat, medium fat, raw",0,0,0,0.01,0.01,0,0.22,0.09,1.87,0.22,1.94,0.02,0,0,0,0,0,0,0,0
7014,"Goat, lean, raw",0,0,0,0,0,0,0.1,0.03,0.89,0.1,0.94,0.01,0,0,0,0,0,0,0,0
7009,"Chicken, unespecified part, w/o bones, meat&skin, raw",0,0,0,0,0,0,0.07,0,2.88,0.02,0.73,0.01,0,0,0,0,0,0,0,0
7003,"Beef, liver, raw",0,0,0,0,0,0,0.03,0.01,0.45,0.05,0.87,0,0,0,0.01,0.01,0,0,0,0
8010,"Nile tilapia, fillet, w/o skin and bones, raw",0,0,0,0,0,0,0.04,0,0.3,0.01,0.08,0,0,0,0,0,0,0,0,0
8005,"Lungfish, fillet, raw",0,0,0,0,0,0,0.03,0,0.18,0.02,0.08,0,0,0,0,0,0,0,0,0
8009,"Nile perch, fillet w/o bones, raw",0,0,0,0,0,0,0,0,0.16,0,0.07,0,0,0,0,0,0,0,0,0
8002,"Dagaa fish (omena), dried, raw",0,0,0,0,0.01,0,0.39,0.06,2.35,0.21,0.78,0.04,0,0,0,0,0,0,0,0
9002,Corn oil,0,0,0,0,0,0,0.04,0,0.05,0,11.6,0.08,2.41,0,0.54,0,0.19,0,0.21,0
9012,Soya bean oil,0,0,0,0,0,0,0.03,0,0.09,0,10.3,0.09,4.3,0,0.42,0,0.43,0,0.16,0
10010,"Nut, macadamia, raw, unsalted",0,0,0,0,0,0.01,0,0.05,0,0.46,0.01,5.62,0.02,2.24,0,1.74,0,0.53,0,0.2
10005,"Jack fruit, seed, mature, dry, raw",0,0,0,0,0,0,0,0,0,0.01,0,0.14,0,0.03,0,0.02,0,0.05,0,0.01
10009,"Nut, ground nut, with skin, unsalted, dry, raw",0,0,0,0,0,0,0,0,0,0.01,0,4.75,0.03,1.9,0,0.81,0,1.6,0,0.65
10014,"Seed, sesame (sim sim) unsalted, dry, raw",0,0,0,0,0,0,0,0,0,0,0,4.15,0.02,2.93,0,0.33,0,0.07,0,0.05
