code,food_name,14_1,15_1,16_1,17_1,18_1,20_1,22_1,24_1
1018,"Maize, grain, white variety, whole, dry, raw",0,0,0.01,0,1.3,0.01,0,0
1020,"Maize meal, sifted, fortified, packaged, raw",0,0,0.01,0,0.94,0.01,0,0
1023,"Green Maize, white, whole, grain, fresh, raw",0,0,0.01,0,0.84,0.01,0,0
1025,"Millet, bulrush, grain, dry, raw",0,0,0.02,0,1.31,0.01,0,0
1039,"Sorghum, grain, white, dry, raw",0,0,0.02,0,1.17,0.01,0,0
1034,"Rice, white, milled, polished grain, dry, raw",0,0,0,0,0.31,0,0,0
1043,"Wheat Flour (refined/fortified/sifted packaged), raw",0,0,0,0,0.17,0.01,0,0
1045,"Wheat, whole, grain, dry, raw",0,0,0,0,0.34,0.02,0,0
3004,"Beans, kidney, dry, raw",0,0,0,0,0.17,0,0,0
3015,"Garden peas, fresh, raw",0,0,0.01,0,0.15,0,0,0
3017,"Gram, black, dry, raw",0,0,0,0,0.16,0,0,0
5003,"Avocado, ripe, raw",0,0,0.84,0.02,12.6,0.04,0,0
6022,"Milk, cow, whole, fresh, raw",0.04,0,0.05,0,0.92,0,0,0
6020,"Milk, cow, whole, fermented (Lala - Industrial)",0.02,0,0.05,0,0.75,0,0,0
6021,"Milk, cow, whole, fermented (Lala - mursik)",0.03,0,0.06,0,1,0,0,0
6026,"Yoghurt, cow milk, whole, plain",0.02,0,0.03,0,0.75,0,0,0
6014,"Milk, camel, whole, fresh, raw",0.01,0,0.19,0,0.77,0,0,0
7011,"Egg, chicken, whole, raw",0,0,0.18,0,2.72,0.02,0,0
7022,"Sausage, beef, raw",0.04,0,0.27,0,6.08,0.08,0,0
7001,"Beef, high fat, w/o bones, raw",0.18,0,0.85,0,8.46,0.03,0,0
7004,"Beef, medium fat, w/o bones, raw",0.04,0,0.24,0,2.65,0,0.04,0
7002,"Beef, lean, raw",0,0,0.07,0,0.72,0,0,0
7016,"Goat, medium fat, raw",0.02,0,0.19,0,3.04,0,0,0
7014,"Goat, lean, raw",0,0,0.09,0,1.59,0,0,0
7009,"Chicken, unespecified part, w/o bones, meat&skin, raw",0,0,0.78,0,4.9,0.05,0,0
7003,"Beef, liver, raw",0,0,0.03,0,0.57,0,0,0
8010,"Nile tilapia, fillet, w/o skin and bones, raw",0,0,0.07,0,0.33,0.02,0,0
8005,"Lungfish, fillet, raw",0,0,0.06,0,0.17,0,0,0
8009,"Nile perch, fillet w/o bones, raw",0,0,0.04,0,0.12,0,0,0
8002,"Dagaa fish (omena), dried, raw",0,0,1.07,0,1.15,0.03,0,0.04
9002,Corn oil,0,0,0.15,0.04,33.5,0.33,0,0
9012,Soya bean oil,0,0,0.11,0.04,24.1,0.26,0,0
10010,"Nut, macadamia, raw, unsalted",0,0,16.3,0.05,37.4,1.64,0.15,0
10005,"Jack fruit, seed, mature, dry, raw",0,0,0.03,0,0.09,0,0,0
10009,"Nut, ground nut, with skin, unsalted, dry, raw",0,0,0.05,0.02,22,0.5,0.03,0
10014,"Seed, sesame (sim sim) unsalted, dry, raw",0,0,0.07,0.01,18,0.1,0,0
