code,food_name,4_0,6_0,7_0,8_0,9_0,10_0,11_0,12_0,13_0,14_0,15_0,16_0,17_0,18_0,19_0,20_0,21_0,22_0,23_0,24_0
1018,"Maize, grain, white variety, whole, dry, raw",0,0,0,0,0,0,0,0,0,0.02,0.01,12.8,0.08,2.78,0,0.64,0,0.23,0,0.25
1020,"Maize meal, sifted, fortified, packaged, raw",0,0,0,0,0,0,0,0,0,0.12,0.07,13.1,0.09,3.41,0,0.63,0,0.18,0,0.22
1023,"Green Maize, white, whole, grain, fresh, raw",0,0,0,0,0,0,0,0,0,0.01,0.05,14.8,0.1,3.21,0,0.57,0,0.21,0,0.18
1025,"Millet, bulrush, grain, dry, raw",0,0,0,0,0,0,0,0,0,0.05,0.03,17.5,0.06,4.33,0,0.9,0,0.26,0,0.21
1039,"Sorghum, grain, white, dry, raw",0,0,0,0,0,0,0,0,0,0.07,0.23,16.2,0.1,2.02,0,0.28,0,0.16,0,0.22
1034,"Rice, white, milled, polished grain, dry, raw",0,0,0,0,0,0,0,0.37,0.24,1.85,0.16,24.6,0.13,4.59,0,0.61,0,0.25,0,0.27
1043,"Wheat Flour (refined/fortified/sifted packaged), raw",0,0,0,0,0,0,0,0,0,0.03,0.02,17.7,0.11,1.68,0,0.16,0,0.11,0,0.13
1045,"Wheat, whole, grain, dry, raw",0,0,0,0,0,0,0,0,0,0.02,0.01,17.7,0.11,1.46,0,0.21,0,0.17,0,0.13
3004,"Beans, kidney, dry, raw",0,0,0,0,0,0,0,0,0,0.02,0.01,11.3,0.14,2.32,0,0.48,0,0.81,0,0.73
3015,"Garden peas, fresh, raw",0,0,0,0,0,0,0,0,0,0.08,0.09,18,0.3,5.23,0,0.79,0,0.46,0,0.27
3017,"Gram, black, dry, raw",0,0,0,0,0,0,0,0.09,0.07,0.39,0.56,22.3,0.22,5.6,0,1.57,0,2.43,0,1.33
5003,"Avocado, ripe, raw",0,0,0,0,0,0,0,0,0,0.01,0.02,16.3,0.03,0.89,0,0.1,0,0.05,0,0.08
6022,"Milk, cow, whole, fresh, raw",4.77,2.31,1.1,2.16,2.44,9.84,1.45,29.7,1.25,12.4,0,0,0,0,0,0,0,0,0,0
6020,"Milk, cow, whole, fermented (Lala - Industrial)",4.71,2.29,1.14,2.18,2.44,9.65,1.3,27.3,1.08,13.6,0,0,0,0,0,0,0,0,0,0
