code,food_name,14_1,15_1,16_1,17_1,18_1,20_1,22_1,24_1
1018,"Maize, grain, white variety, whole, dry, raw",0,0,0.2,0,36.4,0.35,0.01,0.01
1020,"Maize meal, sifted, fortified, packaged, raw",0,0,0.27,0.05,39.4,0.34,0,0.01
1023,"Green Maize, white, whole, grain, fresh, raw",0,0,0.33,0.06,36.5,0.43,0.02,0.01
1025,"Millet, bulrush, grain, dry, raw",0,0,0.39,0.02,28.8,0.25,0,0
1039,"Sorghum, grain, white, dry, raw",0,0,0.66,0.06,38.9,0.36,0,0.03
1034,"Rice, white, milled, polished grain, dry, raw",0,0,0.57,0.07,36.2,0.35,0,0.01
1043,"Wheat Flour (refined/fortified/sifted packaged), raw",0,0,0.36,0.07,16.3,0.85,0.13,0.1
1045,"Wheat, whole, grain, dry, raw",0,0,0.24,0.07,18.8,1.06,0.12,0.1
3004,"Beans, kidney, dry, raw",0,0,0.31,0.06,10.5,0.2,0,0.01
3015,"Garden peas, fresh, raw",0,0,1.03,0.21,26.6,0.8,0,0.22
3017,"Gram, black, dry, raw",0,0,0.32,0.03,12.1,0.36,0.06,0.04
5003,"Avocado, ripe, raw",0,0,4.49,0.09,67.5,0.2,0,0
6022,"Milk, cow, whole, fresh, raw",1.04,0,1.36,0,26.7,0,0,0
6020,"Milk, cow, whole, fermented (Lala - Industrial)",0.83,0,1.71,0,27.7,0,0,0
6021,"Milk, cow, whole, fermented (Lala - mursik)",0.9,0,1.8,0,29.9,0,0,0
6026,"Yoghurt, cow milk, whole, plain",0.83,0,1.13,0,28.5,0,0,0
6014,"Milk, camel, whole, fresh, raw",0.5,0,7.04,0,28.8,0,0,0
7011,"Egg, chicken, whole, raw",0,0,2.59,0,38.9,0.29,0,0
7022,"Sausage, beef, raw",0.23,0,1.64,0,37.5,0.47,0,0
7001,"Beef, high fat, w/o bones, raw",0.78,0,3.71,0,36.9,0.13,0,0
7004,"Beef, medium fat, w/o bones, raw",0.59,0,3.59,0,38.9,0.66,0,0
7002,"Beef, lean, raw",0,0,3.35,0,34.7,0,0,0
7016,"Goat, medium fat, raw",0.18,0,2.33,0,37.2,0,0,0
7014,"Goat, lean, raw",0,0,2.22,0,39.2,0,0,0
7009,"Chicken, unespecified part, w/o bones, meat&skin, raw",0,0,6.29,0,39.7,0.41,0,0
7003,"Beef, liver, raw",0,0,0.84,0,18.2,0,0,0
8010,"Nile tilapia, fillet, w/o skin and bones, raw",0,0,5.63,0,26.7,1.5,0,0
8005,"Lungfish, fillet, raw",0,0,7.62,0,21,0,0,0
8009,"Nile perch, fillet w/o bones, raw",0,0,6.65,0,18.7,0,0,0
8002,"Dagaa fish (omena), dried, raw",0,0,11,0,11.8,0.3,0,0.4
9002,Corn oil,0,0,0.16,0.04,35.1,0.35,0,0
9012,Soya bean oil,0,0,0.11,0.05,25.2,0.27,0,0
10010,"Nut, macadamia, raw, unsalted",0,0,24,0.08,55.2,2.43,0.22,0
10005,"Jack fruit, seed, mature, dry, raw",0,0,4.88,0.19,16.3,0.18,0.06,0
10009,"Nut, ground nut, with skin, unsalted, dry, raw",0,0,0.11,0.04,47.5,1.08,0.07,0
10014,"Seed, sesame (sim sim) unsalted, dry, raw",0,0,0.14,0.02,34.9,0.2,0,0
