code,food_name,16_2,18_2,20_2,22_2,18_3,20_3,22_3,16_4,18_4,20_4,22_4,20_5,22_5,22_6
1018,"Maize, grain, white variety, whole, dry, raw",0,43,0,0,0.99,0,0,0,0,0,0,0,0,0
1020,"Maize meal, sifted, fortified, packaged, raw",0,40.3,0,0,1.09,0,0,0,0,0,0,0,0,0
1023,"Green Maize, white, whole, grain, fresh, raw",0,42,0,0,1.06,0,0,0,0,0,0,0,0,0
1025,"Millet, bulrush, grain, dry, raw",0,43.9,0,0,2.92,0,0,0,0,0,0,0,0,0
1039,"Sorghum, grain, white, dry, raw",0,42,0,0,1.12,0,0,0,0,0,0,0,0,0
1034,"Rice, white, milled, polished grain, dry, raw",0,26.8,0,0,1.26,0,0,0,0,0,0,0,0,0
1043,"Wheat Flour (refined/fortified/sifted packaged), raw",0,58,0,0,3.75,0,0,0,0,0,0,0,0,0
1045,"Wheat, whole, grain, dry, raw",0,55.1,0,0,4.28,0,0,0,0,0,0,0,0,0
3004,"Beans, kidney, dry, raw",0,23.4,0,0,49.3,0,0,0,0,0,0,0,0,0
3015,"Garden peas, fresh, raw",0,39.3,0,0,7.62,0,0,0,0,0,0,0,0,0
3017,"Gram, black, dry, raw",0,20.7,0,0,35.9,0,0,0,0,0,0,0,0,0
5003,"Avocado, ripe, raw",0,9.56,0,0,0.69,0,0,0,0,0,0,0,0,0
6022,"Milk, cow, whole, fresh, raw",0,2.54,0,0,0.45,0,0,0,0,0.57,0,0,0,0
6020,"Milk, cow, whole, fermented (Lala - Industrial)",0,2.62,0,0,0.72,0,0,0,0,0.7,0,0,0,0
6021,"Milk, cow, whole, fermented (Lala - mursik)",0,2.54,0,0,0.9,0,0,0,0,0.6,0,0,0,0
6026,"Yoghurt, cow milk, whole, plain",0,2.72,0,0,0.43,0,0,0,0,0.64,0,0,0,0
6014,"Milk, camel, whole, fresh, raw",0,3.34,0,0,1.45,0,0,0,0,0.39,0,0,0,0
7011,"Egg, chicken, whole, raw",0,20.4,0.28,0,0.42,0.1,0,0,0,2.21,0.21,0,0.54,1.27
7022,"Sausage, beef, raw",0,12.6,0.42,0,0.79,0.16,0,0.17,0.25,0.08,0,0,0,0
7001,"Beef, high fat, w/o bones, raw",0,2.44,0,0,1.26,0.13,0,0.26,0.17,0,0,0,0.13,0
7004,"Beef, medium fat, w/o bones, raw",0,2.57,0,0,0.73,0.15,0,0.29,0,0,0,0.15,0.29,0
7002,"Beef, lean, raw",0,4.78,0,0,0.96,0,0,0,0,1.44,0,0,0,0.96
7016,"Goat, medium fat, raw",0,3.98,0,0,1.04,0,0,0.37,0.61,0,0,0,0.37,0
7014,"Goat, lean, raw",0,4.69,0,0,0.99,0,0,0,0,0.99,0,0,0,0.49
7009,"Chicken, unespecified part, w/o bones, meat&skin, raw",0,20.9,0.13,0,1.22,0.24,0,0,0,0.53,0.16,0,0.08,0
7003,"Beef, liver, raw",0,10.1,0,0,2.52,2.26,0,0,0,8.39,0.84,1.68,7.13,2.1
8010,"Nile tilapia, fillet, w/o skin and bones, raw",0,17.3,0.79,0,3.01,0.75,0,0,0,2.26,0.75,0,3.01,4.14
8005,"Lungfish, fillet, raw",0,7.62,0,0,3.81,0,0,0,0,7.62,1.9,0,3.81,9.52
8009,"Nile perch, fillet w/o bones, raw",0,2.67,0,0,0,0,0,0,0,8,0,2.67,8,18.7
8002,"Dagaa fish (omena), dried, raw",0,3.36,0.3,0,3.01,1.06,0,0.43,3.11,0.4,7.01,4,13.6,13.6
9002,Corn oil,0,47.8,0,0,0.79,0,0,0,0,0,0,0,0,0
9012,Soya bean oil,0,51.1,0,0,6.78,0,0,0,0,0,0,0,0,0
10010,"Nut, macadamia, raw, unsalted",0,1.84,0,0,0.17,0,0,0,0,0,0,0,0,0
10005,"Jack fruit, seed, mature, dry, raw",0,29.4,0,0,3.06,0,0,0,0,0,0,0,0,0
10009,"Nut, ground nut, with skin, unsalted, dry, raw",0,30,0.02,0,0.11,0,0,0,0,0,0,0,0,0
10014,"Seed, sesame (sim sim) unsalted, dry, raw",0,45.7,0.02,0,0.43,0,0,0,0,0,0,0,0,0
